
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0005123615264892578
time for getitem:  0.0007863044738769531
time for getitem:  0.0006377696990966797
time for getitem:  0.0005736351013183594
time for getitem:  0.0005147457122802734
time for getitem:  0.0008730888366699219
time for getitem:  0.00033354759216308594
time for getitem:  0.0007677078247070312
time for getitem:  0.0012564659118652344
time for getitem:  0.0007796287536621094
time for getitem:  0.0007116794586181641
time for getitem:  0.0004456043243408203
time for getitem:  0.0006387233734130859
time for getitem:  0.0005142688751220703
time for getitem:  0.0006740093231201172
time for getitem:  0.0006582736968994141
time for getitem:  0.0008358955383300781
time for getitem:  0.0005974769592285156
time for getitem:  0.0006909370422363281
time for getitem:  0.0008156299591064453
time for getitem:  0.000560760498046875
time for getitem:  0.0007109642028808594
time for getitem:  0.0007460117340087891
time for getitem:  0.0009715557098388672
time for getitem:  0.0004718303680419922
time for getitem:  0.0007224082946777344
time for getitem:  0.0008800029754638672
time for getitem:  0.0006403923034667969
time for getitem:  0.0006585121154785156
time for getitem:  0.0005519390106201172
time for getitem:  0.0004975795745849609
time for getitem:  0.0008661746978759766
time for getitem:  0.0004069805145263672
time for getitem:  0.0009903907775878906
time for getitem:  0.0008060932159423828
time for getitem:  0.0005517005920410156
time for getitem:  0.00039839744567871094
time for getitem:  0.0005741119384765625
time for getitem:  0.0004494190216064453
time for getitem:  0.0010747909545898438
time for getitem:  0.0007297992706298828
time for getitem:  0.0006401538848876953
time for getitem:  0.0007333755493164062
time for getitem:  0.0007941722869873047
time for getitem:  0.000408172607421875
time for getitem:  0.000518798828125
time for getitem:  0.0005788803100585938
time for getitem:  0.0009741783142089844
time for getitem:  0.0006601810455322266
time for getitem:  0.00057220458984375
time for getitem:  0.0007357597351074219
time for getitem:  0.0003452301025390625
time for getitem:  0.0004374980926513672
time for getitem:  0.0013632774353027344
time for getitem:  0.0007395744323730469
time for getitem:  0.0007116794586181641
time for getitem:  0.0008394718170166016
time for getitem:  0.0004684925079345703
time for getitem:  0.0004239082336425781
time for getitem:  0.00033593177795410156
time for getitem:  0.0007500648498535156
time for getitem:  0.00047516822814941406
time for getitem:  0.0011754035949707031
time for getitem:  0.00039005279541015625
time for getitem:  0.0006270408630371094
time for getitem:  0.0006058216094970703
time for getitem:  0.0007009506225585938
time for getitem:  0.00038623809814453125
time for getitem:  0.0005462169647216797
time for getitem:  0.0009162425994873047
time for getitem:  0.0005755424499511719
time for getitem:  0.0004949569702148438
time for getitem:  0.0007152557373046875
time for getitem:  0.0004956722259521484
time for getitem:  0.00048232078552246094
time for getitem:  0.0006532669067382812
time for getitem:  0.0007271766662597656
time for getitem:  0.0003879070281982422
time for getitem:  0.0009257793426513672
time for getitem:  0.0008454322814941406
time for getitem:  0.00048422813415527344
time for getitem:  0.0006644725799560547
time for getitem:  0.0005013942718505859
time for getitem:  0.0009164810180664062
time for getitem:  0.0007386207580566406
time for getitem:  0.0004961490631103516
time for getitem:  0.0010254383087158203
time for getitem:  0.0012173652648925781
time for getitem:  0.000576019287109375
time for getitem:  0.0006678104400634766
time for getitem:  0.00035881996154785156
time for getitem:  0.0005261898040771484
time for getitem:  0.000579833984375
time for getitem:  0.000766754150390625
time for getitem:  0.0007541179656982422
time for getitem:  0.0010449886322021484
time for getitem:  0.0005059242248535156
time for getitem:  0.0007297992706298828
time for getitem:  0.0014445781707763672
time for getitem:  0.0004858970642089844
time for getitem:  0.00044655799865722656
time for getitem:  0.0008389949798583984
time for getitem:  0.0010671615600585938
time for getitem:  0.0009319782257080078
time for getitem:  0.0008347034454345703
time for getitem:  0.00031495094299316406
time for getitem:  0.0008177757263183594
time for getitem:  0.0006558895111083984
time for getitem:  0.0007002353668212891
time for getitem:  0.0006999969482421875
time for getitem:  0.0006623268127441406
time for getitem:  0.0006473064422607422
time for getitem:  0.00041174888610839844
time for getitem:  0.0006024837493896484
time for getitem:  0.0003631114959716797
time for getitem:  0.0006990432739257812
time for getitem:  0.0012164115905761719
time for getitem:  0.00080108642578125
time for getitem:  0.0005276203155517578
time for getitem:  0.0006604194641113281
time for getitem:  0.00072479248046875
time for getitem:  0.0006048679351806641
time for getitem:  0.0006260871887207031
